,model,layer,flops,lat,gflops
41,face,local5,14450688,0.015438799999999996,0.9359981345700445
42,face,local6,5120000,0.005913099999999999,0.8658740762036835
43,face,fc7,52428800,0.0198846,2.636653490640999
44,face,fc8,679936,0.000495,1.3736080808080808
45,face,prob,83,4.88e-05,0.0017008196721311475
46,face,argmax,83,0.0001848,0.0004491341991341991
47,dig,conv1,57600000,0.00022109999999999998,260.5156037991859
48,dig,pool1,1440000,4.05e-05,35.55555555555556
49,dig,conv2,320000000,0.0001482,2159.2442645074225
50,dig,pool2,400000,3.5000000000000004e-05,11.428571428571429
51,dig,ip1,80000000,0.0117011,6.836964046115322
52,dig,relu1,100000,5.169999999999999e-05,1.9342359767891686
53,dig,ip2,1000000,0.00025770000000000003,3.8804811796662784
54,dig,prob,1000,4.189999999999999e-05,0.023866348448687357
55,dig,argmax,1000,0.0005028000000000002,0.001988862370723945
56,dig-10,conv1,5760000,0.0002109,27.311522048364154
57,dig-10,pool1,144000,4.329999999999998e-05,3.3256351039260985
58,dig-10,conv2,32000000,0.000195,164.10256410256412
59,dig-10,pool2,40000,3.480000000000001e-05,1.1494252873563213
60,dig-10,ip1,8000000,0.0010976999999999998,7.287965746560992
61,dig-10,relu1,5000,4.0899999999999984e-05,0.12224938875305628
62,dig-10,ip2,100000,0.0002285,0.437636761487965
63,dig-10,prob,100,3.9199999999999984e-05,0.0025510204081632664
64,dig-10,argmax,100,0.0001891,0.0005288207297726071
65,pos,fc1,5040000,0.0002981,16.90707816169071
66,pos,htanh,16800,4.2000000000000004e-05,0.39999999999999997
67,pos,fc3,756000,0.0001995,3.7894736842105265
68,ner,fc1,6300000,0.0003168,19.886363636363637
69,ner,htanh,16800,3.7699999999999995e-05,0.44562334217506633
70,ner,fc3,285600,0.00019020000000000007,1.5015772870662456
71,chk,fc1,5040000,0.00029549999999999997,17.055837563451778
72,chk,htanh,16800,4.02e-05,0.417910447761194
73,chk,fc3,705600,0.0001936,3.644628099173554
74,vgg,conv1_1,173408256,0.0002631,659.0963740022805
75,vgg,relu1_1,3211264,5.2699999999999993e-05,60.93480075901329
76,vgg,conv1_2,3699376128,0.0001747,21175.593176874645
77,vgg,relu1_2,3211264,3.749999999999998e-05,85.6337066666667
78,vgg,pool1,4014080,4.2000000000000004e-05,95.57333333333332
79,vgg,conv2_1,1849688064,0.0005085,3637.5379823008852
80,vgg,relu2_1,1605632,4.129999999999999e-05,38.87728813559323
81,vgg,conv2_2,3699376128,0.0005497999999999999,6728.585172790106
82,vgg,relu2_2,0,3.849999999999999e-05,0.0
83,vgg,pool2,2007040,4.2099999999999987e-05,47.67315914489313
84,vgg,conv3_1,1849688064,0.0008132999999999999,2274.299845075618
85,vgg,relu3_1,802816,3.87e-05,20.744599483204137
86,vgg,conv3_2,3699376128,0.0005116,7230.993213448007
87,vgg,relu3_2,802816,0.00010539999999999999,7.6168500948766615
88,vgg,conv3_3,3699376128,0.0005459000000000001,6776.655299505403
89,vgg,relu3_3,802816,4.6199999999999985e-05,17.376969696969702
90,vgg,conv3_4,3699376128,0.0005889,6281.840937340806
91,vgg,relu3_4,802816,4.3599999999999996e-05,18.41321100917431
92,vgg,pool3,1003520,4.18e-05,24.007655502392346
93,vgg,conv4_1,1849688064,0.0029510999999999995,626.7791887770663
94,vgg,relu4_1,401408,5.0900000000000004e-05,7.886208251473477
95,vgg,conv4_2,3699376128,0.0005628,6573.162985074627
96,vgg,relu4_2,401408,3.6999999999999985e-05,10.84886486486487
97,vgg,conv4_3,3699376128,0.0005008,7386.933162939297
98,vgg,relu4_3,401408,3.8100000000000005e-05,10.535643044619421
99,vgg,conv4_4,3699376128,0.0004969,7444.9107023545985
100,vgg,relu4_4,401408,3.609999999999998e-05,11.119335180055407
101,vgg,pool4,501760,3.6999999999999985e-05,13.561081081081086
102,vgg,conv5_1,924844032,0.0005782999999999999,1599.2461213902823
103,vgg,relu5_1,100352,3.88e-05,2.5863917525773195
104,vgg,conv5_2,924844032,0.0005050000000000001,1831.3743207920786
105,vgg,relu5_2,100352,3.6200000000000006e-05,2.772154696132596
106,vgg,conv5_3,924844032,0.000499,1853.3948537074148
107,vgg,relu5_3,100352,3.68e-05,2.7269565217391305
108,vgg,conv5_4,924844032,0.0005741,1610.9458839923357
109,vgg,relu5_4,100352,3.680000000000001e-05,2.72695652173913
110,vgg,pool5,125440,3.55e-05,3.5335211267605633
111,vgg,fc6,205520896,0.7072840000000001,0.2905776123876688
112,vgg,relu6,4096,5.620000000000001e-05,0.07288256227758005
113,vgg,drop6,4096,1.5e-06,2.7306666666666666
114,vgg,fc7,33554432,0.0114378,2.9336438825648288
115,vgg,relu7,4096,4.5600000000000004e-05,0.08982456140350877
116,vgg,drop7,4096,8.000000000000001e-07,5.12
117,vgg,fc8,8192000,0.0028110000000000006,2.914265385983635
118,vgg,prob,2000,4.8399999999999984e-05,0.041322314049586785
119,vgg,argmax,1000,0.00020830000000000002,0.004800768122899664
