layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,64,512,1,1,4096,134217728,0.2960,453.43827027
fc,64,446,1,1,64,1826816,0.1410,12.956141844
fc,64,446,1,1,128,3653632,0.1510,24.1962384106
fc,64,446,1,1,196,5594624,0.1450,38.5836137931
fc,64,446,1,1,256,7307264,0.1410,51.8245673759
fc,64,446,1,1,320,9134080,0.1410,64.7807092199
fc,64,446,1,1,384,10960896,0.1440,76.1173333333
fc,64,446,1,1,512,14614528,0.1510,96.7849536424
fc,64,446,1,1,768,21921792,0.1510,145.177430464
fc,64,446,1,1,1024,29229056,0.1620,180.426271605
fc,64,446,1,1,1536,43843584,0.1800,243.575466667
fc,64,446,1,1,2048,58458112,0.2200,265.718690909
fc,64,446,1,1,2560,73072640,0.2140,341.460934579
fc,64,446,1,1,3072,87687168,0.2400,365.3632
fc,64,446,1,1,3200,91340800,0.2430,375.888065844
fc,64,446,1,1,4096,116916224,0.2870,407.373602787
fc,64,1000,1,1,64,4096000,0.2690,15.2267657993
fc,64,1000,1,1,128,8192000,0.2540,32.2519685039
fc,64,1000,1,1,196,12544000,0.2530,49.581027668
fc,64,1000,1,1,256,16384000,0.2610,62.7739463602
fc,64,1000,1,1,320,20480000,0.2560,80.0
fc,64,1000,1,1,384,24576000,0.2610,94.1609195402
fc,64,1000,1,1,512,32768000,0.2780,117.870503597
fc,64,1000,1,1,768,49152000,0.2820,174.29787234
fc,64,1000,1,1,1024,65536000,0.2900,225.986206897
fc,64,1000,1,1,1536,98304000,0.3200,307.2
fc,64,1000,1,1,2048,131072000,0.3470,377.729106628
fc,64,1000,1,1,2560,163840000,0.4000,409.6
fc,64,1000,1,1,3072,196608000,0.4870,403.712525667
fc,64,1000,1,1,3200,204800000,0.4760,430.25210084
fc,64,1000,1,1,4096,262144000,0.5190,505.094412331
fc,64,64,1,1,64,262144,0.0840,3.12076190476
fc,64,64,1,1,128,524288,0.0690,7.59837681159
fc,64,64,1,1,196,802816,0.0800,10.0352
