layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,192,22,22,16,3,2,10.5,6096384.0,2.0480,2.97675
local,1,192,22,22,16,3,4,5.75,1828224.0,1.2510,1.46141007194
local,1,192,22,22,16,5,1,18.0,49766400.0,3.6820,13.5161325367
local,1,192,22,22,16,5,2,9.5,13862400.0,2.9880,4.63935742972
local,1,192,22,22,16,5,4,5.25,4233600.0,2.7020,1.56683937824
local,1,192,22,22,16,7,1,16.0,77070336.0,5.6560,13.6262970297
local,1,192,22,22,16,7,2,8.5,21751296.0,4.5390,4.79208988764
local,1,192,22,22,16,7,4,4.75,6792576.0,2.9260,2.32145454545
local,1,192,22,22,16,9,1,14.0,97542144.0,6.7410,14.4699813084
local,1,192,22,22,16,9,2,7.5,27993600.0,3.9840,7.0265060241
local,1,192,22,22,16,9,4,4.25,8989056.0,3.4540,2.60250607991
local,1,192,22,22,24,3,1,20.0,33177600.0,3.3800,9.81585798817
local,1,192,22,22,24,3,2,10.5,9144576.0,2.6290,3.47834766071
local,1,192,22,22,24,3,4,5.75,2742336.0,1.7490,1.56794511149
local,1,192,22,22,24,5,1,18.0,74649600.0,5.1430,14.5147968112
local,1,192,22,22,24,5,2,9.5,20793600.0,4.0180,5.17511199602
local,1,192,22,22,24,5,4,5.25,6350400.0,3.2390,1.96060512504
local,1,192,22,22,24,7,1,16.0,115605504.0,6.6810,17.303622811
local,1,192,22,22,24,7,2,8.5,32626944.0,5.6450,5.77979521701
local,1,192,22,22,24,7,4,4.75,10188864.0,3.8620,2.63823511134
local,1,192,22,22,24,9,1,14.0,146313216.0,9.6560,15.1525700083
local,1,192,22,22,24,9,2,7.5,41990400.0,5.2790,7.95423375639
local,1,192,22,22,24,9,4,4.25,13483584.0,4.4210,3.04989459398
local,1,192,22,22,32,3,1,20.0,44236800.0,4.2400,10.4332075472
local,1,192,22,22,32,3,2,10.5,12192768.0,3.2480,3.75393103448
local,1,192,22,22,32,3,4,5.75,3656448.0,2.3510,1.55527350064
local,1,192,22,22,32,5,1,18.0,99532800.0,6.5610,15.1703703704
local,1,192,22,22,32,5,2,9.5,27724800.0,4.6100,6.01405639913
local,1,192,22,22,32,5,4,5.25,8467200.0,3.8960,2.17330595483
local,1,192,22,22,32,7,1,16.0,154140672.0,8.6820,17.7540511403
local,1,192,22,22,32,7,2,8.5,43502592.0,5.3460,8.13740965208
local,1,192,22,22,32,7,4,4.75,13585152.0,4.4150,3.07704462061
local,1,192,22,22,32,9,1,14.0,195084288.0,11.7410,16.6156450047
local,1,192,22,22,32,9,2,7.5,55987200.0,6.5230,8.58304461138
local,1,192,22,22,32,9,4,4.25,17978112.0,5.3980,3.33051352353
local,1,192,22,22,48,3,1,20.0,66355200.0,5.9750,11.1054728033
local,1,192,22,22,48,3,2,10.5,18289152.0,4.4030,4.15379332273
local,1,192,22,22,48,3,4,5.75,5484672.0,3.2970,1.66353412193
local,1,192,22,22,48,5,1,18.0,149299200.0,9.3090,16.0381566226
