layer,batch,channel,height,width,num_output,kernel_size,stride,out_dim,fpops,lat,gflops
local,1,64,28,28,3,3,2,13.5,629856.0,1.3260,0.4750045248868778
local,1,64,28,28,3,3,4,7.25,181656.0,1.2490,0.14544115292233786
local,1,64,28,28,3,5,1,24.0,5529600.0,5.0950,1.0852993130520117
local,1,64,28,28,3,5,2,12.5,1500000.0,2.1580,0.6950880444856349
local,1,64,28,28,3,5,4,6.75,437400.0,0.9390,0.465814696485623
local,1,64,28,28,3,7,1,22.0,9106944.0,8.0280,1.1343976083707026
local,1,64,28,28,3,7,2,11.5,2488416.0,3.0930,0.8045315227934045
local,1,64,28,28,3,7,4,6.25,735000.0,1.2570,0.5847255369928401
local,1,64,28,28,3,9,1,20.0,12441600.0,13.2280,0.9405503477472029
local,1,64,28,28,3,9,2,10.5,3429216.0,3.8410,0.8927925019526165
local,1,64,28,28,3,9,4,5.75,1028376.0,1.9390,0.5303641052088706
local,1,64,28,28,16,3,1,26.0,12460032.0,12.9900,0.9592018475750578
local,1,64,28,28,16,3,2,13.5,3359232.0,5.3150,0.6320285983066791
local,1,64,28,28,16,3,4,7.25,968832.0,2.3200,0.4176
local,1,64,28,28,16,5,1,24.0,29491200.0,20.3610,1.4484160895830265
local,1,64,28,28,16,5,2,12.5,8000000.0,6.7900,1.1782032400589102
local,1,64,28,28,16,5,4,6.75,2332800.0,2.6550,0.8786440677966102
local,1,64,28,28,16,7,1,22.0,48570368.0,33.6380,1.443913669064748
local,1,64,28,28,16,7,2,11.5,13271552.0,10.3010,1.288375109212698
local,1,64,28,28,16,7,4,6.25,3920000.0,4.2330,0.9260571698558943
local,1,64,28,28,16,9,1,20.0,66355200.0,44.9170,1.4772847696863103
local,1,64,28,28,16,9,2,10.5,18289152.0,13.5600,1.3487575221238937
local,1,64,28,28,16,9,4,5.75,5484672.0,5.9450,0.9225688814129519
local,1,64,28,28,24,3,1,26.0,18690048.0,22.7110,0.8229513451631368
local,1,64,28,28,24,3,2,13.5,5038848.0,7.4590,0.6755393484381285
local,1,64,28,28,24,3,4,7.25,1453248.0,3.6540,0.3977142857142857
local,1,64,28,28,24,5,1,24.0,44236800.0,32.0880,1.3786088257292448
local,1,64,28,28,24,5,2,12.5,12000000.0,9.6560,1.2427506213753103
local,1,64,28,28,24,5,4,6.75,3499200.0,3.8970,0.8979214780600462
local,1,64,28,28,24,7,1,22.0,72855552.0,49.1210,1.4831854400358297
local,1,64,28,28,24,7,2,11.5,19907328.0,14.8530,1.3402900424156734
local,1,64,28,28,24,7,4,6.25,5880000.0,5.9780,0.9836065573770492
local,1,64,28,28,24,9,1,20.0,99532800.0,66.0760,1.5063381560627158
local,1,64,28,28,24,9,2,10.5,27433728.0,19.5040,1.4065693191140278
local,1,64,28,28,24,9,4,5.75,8227008.0,8.7790,0.9371235903861487
local,1,64,28,28,32,3,1,26.0,24920064.0,29.1010,0.8563301604755851
local,1,64,28,28,32,3,2,13.5,6718464.0,12.2050,0.5504681687832855
local,1,64,28,28,32,3,4,7.25,1937664.0,4.6090,0.4204087654588848
local,1,64,28,28,32,5,1,24.0,58982400.0,39.1930,1.5049217972597149
local,1,64,28,28,32,5,2,12.5,16000000.0,12.4380,1.2863804470172053
local,1,64,28,28,32,5,4,6.75,4665600.0,4.7490,0.9824384080859129
local,1,64,28,28,32,7,1,22.0,97140736.0,64.9870,1.494771815901642
local,1,64,28,28,32,7,2,11.5,26543104.0,19.6780,1.348872039841447
local,1,64,28,28,32,7,4,6.25,7840000.0,7.6560,1.0240334378265412
local,1,64,28,28,32,9,1,20.0,132710400.0,87.3240,1.5197471485502267
local,1,64,28,28,32,9,2,10.5,36578304.0,25.2160,1.4505989847715735
local,1,64,28,28,32,9,4,5.75,10969344.0,10.6800,1.0270921348314606
local,1,64,28,28,48,3,1,26.0,37380096.0,44.8630,0.83320544769632
local,1,64,28,28,48,3,2,13.5,10077696.0,16.8540,0.5979409042363831
local,1,64,28,28,48,3,4,7.25,2906496.0,6.4680,0.449365491651206
local,1,64,28,28,48,5,1,24.0,88473600.0,57.9530,1.526644004624437
local,1,64,28,28,48,5,2,12.5,24000000.0,18.0630,1.328682943032719
local,1,64,28,28,48,5,4,6.75,6998400.0,7.0200,0.996923076923077
local,1,64,28,28,48,7,1,22.0,145711104.0,96.2710,1.5135513706100487
local,1,64,28,28,48,7,2,11.5,39814656.0,28.2350,1.4101170887196741
local,1,64,28,28,48,7,4,6.25,11760000.0,11.4610,1.0260884739551521
local,1,64,28,28,48,9,1,20.0,199065600.0,129.7940,1.5337041773887852
local,1,64,28,28,48,9,2,10.5,54867456.0,37.1420,1.4772348284960422
local,1,64,28,28,48,9,4,5.75,16454016.0,19.0640,0.8630935795216114
