layer,batch,channel,height,width,num_output,fpops,lat,gflops
fc,64,640,1,1,128,5242880,0.4200,12.483047619047621
fc,64,640,1,1,196,8028160,0.5230,15.3502103250478
fc,64,640,1,1,256,10485760,0.5430,19.310791896869244
fc,64,640,1,1,320,13107200,0.6430,20.384447900466565
fc,64,640,1,1,384,15728640,0.7160,21.967374301675978
fc,64,640,1,1,512,20971520,0.7910,26.512667509481666
fc,64,640,1,1,768,31457280,1.0130,31.05358341559724
fc,64,640,1,1,1024,41943040,1.1730,35.7570673486786
fc,64,640,1,1,1536,62914560,1.5820,39.7690012642225
fc,64,640,1,1,2048,83886080,1.9790,42.388115209701866
fc,64,640,1,1,2560,104857600,2.3580,44.46887192536047
fc,64,640,1,1,3072,125829120,3.2890,38.25756156886591
fc,64,640,1,1,3200,131072000,2.8340,46.249823570924484
fc,64,640,1,1,4096,167772160,3.5850,46.798370990237096
fc,64,384,1,1,64,1572864,0.3770,4.172053050397878
fc,64,384,1,1,128,3145728,0.3510,8.962188034188037
fc,64,384,1,1,196,4816896,0.4060,11.864275862068967
fc,64,384,1,1,256,6291456,0.4610,13.647409978308024
fc,64,384,1,1,320,7864320,0.4420,17.792579185520363
fc,64,384,1,1,384,9437184,0.4710,20.036484076433126
fc,64,384,1,1,512,12582912,0.5880,21.399510204081636
fc,64,384,1,1,768,18874368,0.7310,25.819928864569086
fc,64,384,1,1,1024,25165824,0.8400,29.959314285714285
fc,64,384,1,1,1536,37748736,1.0930,34.53681244281793
fc,64,384,1,1,2048,50331648,1.3000,38.71665230769231
fc,64,384,1,1,2560,62914560,1.5820,39.7690012642225
fc,64,384,1,1,3072,75497472,1.8320,41.210410480349346
fc,64,384,1,1,3200,78643200,1.8980,41.434773445732354
fc,64,384,1,1,4096,100663296,2.2960,43.842898954703834
fc,64,2000,1,1,64,8192000,0.7700,10.638961038961039
fc,64,2000,1,1,128,16384000,0.8070,20.30235439900867
fc,64,2000,1,1,196,25088000,1.1410,21.987730061349694
fc,64,2000,1,1,256,32768000,1.1590,28.27264883520276
fc,64,2000,1,1,320,40960000,1.2370,33.112368633791434
fc,64,2000,1,1,384,49152000,1.3350,36.81797752808989
fc,64,2000,1,1,512,65536000,1.6680,39.29016786570744
fc,64,2000,1,1,768,98304000,2.2610,43.4781070322866
fc,64,2000,1,1,1024,131072000,2.9110,45.02645139127448
fc,64,2000,1,1,1536,196608000,4.0170,48.94398805078416
fc,64,2000,1,1,2048,262144000,5.2190,50.2287794596666
fc,64,2000,1,1,2560,327680000,6.2890,52.10367307998093
fc,64,2000,1,1,3072,393216000,7.9130,49.69240490332365
fc,64,2000,1,1,3200,409600000,7.6530,53.52149483862538
